Onset_Times,Time_Between_Onsets
1.8634013605442177,
2.2291156462585033,0.36571428571428566
2.403265306122449,0.1741496598639456
2.6122448979591835,0.20897959183673454
2.6644897959183673,0.052244897959183856
2.6993197278911563,0.03482993197278894
2.995374149659864,0.2960544217687078
3.1172789115646258,0.12190476190476174
3.3436734693877552,0.22639455782312945
3.430748299319728,0.0870748299319728
10.62312925170068,7.192380952380953
11.145578231292516,0.5224489795918359
11.23265306122449,0.08707482993197324
11.337142857142856,0.10448979591836682
11.528707482993198,0.19156462585034184
11.702857142857143,0.1741496598639447
12.085986394557823,0.38312925170068013
12.1556462585034,0.06965986394557788
17.88517006802721,5.72952380952381
18.2334693877551,0.3482993197278894
18.494693877551022,0.2612244897959215
18.999727891156464,0.5050340136054423
19.173877551020407,0.17414965986394293
19.382857142857144,0.2089795918367372
